customer_id,region,plan_type,monthly_fee_sar,tenure_months,avg_data_gb_prior_3mo,avg_data_gb_recent_3mo,support_calls_last_3mo,late_payments_last_6mo,contacted_competitor_offer
C0001,Medina,Basic,89,2,30.7,8.1,0,1,No
C0002,Medina,Unlimited,299,3,5.1,2.2,0,0,No
C0003,Dammam,Unlimited,299,15,20.2,11.9,2,0,No
C0004,Riyadh,Standard,149,14,38.5,9.3,0,2,No
C0005,Dammam,Unlimited,299,35,8.5,7.4,0,1,No
C0006,Mecca,Standard,149,46,6.5,7.0,5,2,No
C0007,Riyadh,Premium,219,30,26.9,25.9,0,0,No
C0008,Dammam,Standard,149,35,30.2,11.2,5,1,No
C0009,Dammam,Basic,89,15,33.6,32.6,0,2,No
C0010,Medina,Standard,149,42,22.0,22.9,0,0,No
C0011,Riyadh,Premium,219,48,25.0,24.2,0,3,No
C0012,Mecca,Basic,89,56,7.9,8.6,1,0,No
C0013,Dammam,Premium,219,36,35.0,18.4,2,0,No
C0014,Jeddah,Basic,89,19,19.7,22.4,3,0,No
C0015,Medina,Basic,89,56,26.5,26.6,0,0,Yes
C0016,Riyadh,Basic,89,39,15.7,9.7,3,2,No
C0017,Jeddah,Standard,149,57,24.4,12.9,3,3,No
C0018,Medina,Standard,149,43,21.1,19.6,3,0,No
C0019,Jeddah,Standard,149,46,15.2,15.9,1,0,Yes
C0020,Riyadh,Basic,89,22,4.8,4.9,0,1,Yes
C0021,Medina,Basic,89,56,15.9,14.8,1,0,No
C0022,Mecca,Unlimited,299,16,32.2,29.2,0,0,No
C0023,Jeddah,Basic,89,44,27.5,23.9,2,1,Yes
C0024,Medina,Standard,149,35,20.2,18.9,0,2,No
C0025,Mecca,Basic,89,4,27.5,23.5,0,1,No
C0026,Mecca,Unlimited,299,31,11.7,10.2,1,3,No
C0027,Jeddah,Premium,219,28,29.1,31.6,2,0,Yes
C0028,Medina,Basic,89,38,30.5,10.4,0,0,No
C0029,Riyadh,Standard,149,4,38.6,10.9,1,1,No
C0030,Jeddah,Standard,149,38,25.4,24.8,1,0,No
C0031,Riyadh,Premium,219,16,13.6,6.7,1,2,No
C0032,Riyadh,Unlimited,299,40,39.9,34.8,0,0,No
C0033,Medina,Standard,149,24,14.3,14.5,0,3,No
C0034,Riyadh,Basic,89,43,33.4,16.7,4,0,Yes
C0035,Dammam,Standard,149,18,14.1,5.0,2,2,No
C0036,Jeddah,Basic,89,6,26.8,23.1,0,0,No
C0037,Riyadh,Unlimited,299,36,29.4,26.0,4,1,Yes
C0038,Riyadh,Premium,219,38,23.9,20.6,1,2,No
C0039,Jeddah,Premium,219,14,28.6,27.3,1,2,No
C0040,Mecca,Standard,149,56,9.9,8.9,1,0,No
C0041,Mecca,Standard,149,18,9.7,9.4,0,0,Yes
C0042,Riyadh,Premium,219,20,33.5,30.7,2,0,No
C0043,Dammam,Premium,219,23,27.1,31.0,1,2,Yes
C0044,Medina,Standard,149,38,38.7,9.6,1,1,No
C0045,Jeddah,Basic,89,25,36.4,8.0,1,0,No
C0046,Dammam,Premium,219,28,6.5,6.2,0,2,No
C0047,Jeddah,Premium,219,43,18.7,17.6,0,0,No
C0048,Mecca,Premium,219,26,23.7,7.8,1,0,No
C0049,Dammam,Unlimited,299,29,28.3,30.8,4,1,No
C0050,Jeddah,Premium,219,6,33.5,35.2,0,0,Yes
C0051,Mecca,Unlimited,299,40,34.6,13.4,2,0,No
C0052,Jeddah,Unlimited,299,16,9.3,10.4,3,2,No
C0053,Mecca,Standard,149,52,38.5,33.3,0,2,No
C0054,Jeddah,Premium,219,49,36.1,38.5,1,2,No
C0055,Dammam,Unlimited,299,29,13.3,6.5,2,0,No
C0056,Mecca,Unlimited,299,5,29.7,10.4,3,0,Yes
C0057,Mecca,Standard,149,46,11.7,11.1,1,0,No
C0058,Mecca,Basic,89,55,35.7,35.5,4,0,No
C0059,Jeddah,Standard,149,32,11.9,10.2,0,1,No
C0060,Mecca,Unlimited,299,59,8.6,7.4,1,0,Yes
C0061,Mecca,Standard,149,56,20.6,7.6,0,0,No
C0062,Dammam,Premium,219,49,38.2,42.0,1,1,Yes
C0063,Medina,Standard,149,42,6.5,5.6,0,0,No
C0064,Jeddah,Standard,149,16,8.5,8.7,0,1,No
C0065,Mecca,Basic,89,50,33.5,29.6,0,0,No
C0066,Medina,Unlimited,299,46,11.1,12.2,0,1,No
C0067,Dammam,Basic,89,51,39.4,37.6,1,0,No
C0068,Jeddah,Basic,89,55,19.1,18.7,1,2,No
C0069,Mecca,Unlimited,299,12,30.4,28.3,3,0,No
C0070,Medina,Premium,219,21,34.7,30.4,3,0,No
C0071,Medina,Unlimited,299,22,5.0,4.5,0,1,No
C0072,Mecca,Premium,219,36,4.4,3.9,2,0,No
C0073,Mecca,Unlimited,299,29,32.5,9.7,2,0,No
C0074,Jeddah,Premium,219,28,39.9,38.1,1,0,No
C0075,Medina,Premium,219,8,30.7,32.5,0,1,No
C0076,Riyadh,Premium,219,7,34.0,12.3,0,1,Yes
C0077,Dammam,Basic,89,36,14.5,15.1,2,0,Yes
C0078,Mecca,Unlimited,299,31,19.9,4.4,4,0,No
C0079,Jeddah,Unlimited,299,5,24.8,22.2,3,3,Yes
C0080,Mecca,Basic,89,36,31.5,34.2,0,0,No
C0081,Jeddah,Premium,219,56,25.2,25.7,0,3,Yes
C0082,Medina,Standard,149,17,27.8,7.7,0,0,No
C0083,Dammam,Unlimited,299,19,5.2,1.7,3,0,No
C0084,Dammam,Standard,149,28,8.1,2.2,0,0,Yes
C0085,Riyadh,Premium,219,29,8.5,9.0,4,0,No
C0086,Medina,Basic,89,57,19.6,6.1,0,3,No
C0087,Dammam,Basic,89,49,28.2,6.2,2,0,No
C0088,Riyadh,Standard,149,38,19.7,22.5,1,0,No
C0089,Riyadh,Standard,149,22,18.8,19.7,1,1,Yes
C0090,Medina,Premium,219,17,15.6,15.2,1,3,No
C0091,Dammam,Unlimited,299,27,6.0,6.2,1,0,Yes
C0092,Jeddah,Standard,149,60,14.4,14.3,0,1,No
C0093,Jeddah,Premium,219,36,4.5,4.1,3,0,No
C0094,Medina,Unlimited,299,60,29.8,27.8,3,3,No
C0095,Mecca,Standard,149,25,10.9,11.7,0,0,No
C0096,Mecca,Premium,219,60,32.4,6.5,2,2,No
C0097,Jeddah,Standard,149,29,23.4,10.5,1,0,No
C0098,Mecca,Standard,149,37,17.8,17.3,0,0,No
C0099,Dammam,Unlimited,299,43,32.5,29.1,5,0,No
C0100,Jeddah,Basic,89,56,34.4,21.0,0,0,No
C0101,Medina,Basic,89,31,32.1,15.4,1,0,No
C0102,Dammam,Unlimited,299,21,26.6,26.5,1,1,No
C0103,Dammam,Standard,149,48,7.3,7.9,2,0,Yes
C0104,Jeddah,Basic,89,3,15.7,5.7,1,0,No
C0105,Mecca,Standard,149,12,6.8,7.0,0,2,Yes
C0106,Mecca,Premium,219,30,13.2,7.4,4,1,Yes
C0107,Mecca,Premium,219,38,14.8,15.6,1,0,No
C0108,Mecca,Basic,89,16,17.7,16.6,2,0,No
C0109,Dammam,Premium,219,1,24.4,26.2,0,1,No
C0110,Jeddah,Standard,149,39,32.9,9.4,0,1,No
